school_name,department_name,program_code,program_name,research_direction,exam_year,source_type,title,url,publisher_name,published_at,last_verified_at,status,source_confidence,notes
湖南大学,信息科学与工程学院,081200,计算机科学与技术,,2024,official_notice,湖南大学2024年硕士研究生招生考试考生进入复试的初试成绩基本要求,https://gra.hnu.edu.cn/2024/0328/c22291a630350/page.htm,湖南大学研究生院,,2026-06-12 00:00:00+08:00,active,official,确认 081200 学校线 290/42/42/60/60（工学学术学位线）。
湖南大学,信息科学与工程学院,081200,计算机科学与技术,,2024,brochure,湖南大学2024年硕士研究生招生简章,https://gra.hnu.edu.cn/info/1092/9328.htm,湖南大学研究生院,,2026-06-12 00:00:00+08:00,active,official,确认学制 3 年、学费 8000 元/年（学术学位）。
湖南大学,信息科学与工程学院,085404,计算机技术,,2024,official_notice,湖南大学2024年硕士研究生招生考试考生进入复试的初试成绩基本要求,https://gra.hnu.edu.cn/2024/0328/c22291a630350/page.htm,湖南大学研究生院,,2026-06-12 00:00:00+08:00,active,official,确认 085404 学校线 280/40/40/65/65（电子信息专业学位线）。
湖南大学,信息科学与工程学院,085404,计算机技术,,2024,brochure,湖南大学2024年硕士研究生招生简章,https://gra.hnu.edu.cn/info/1092/9328.htm,湖南大学研究生院,,2026-06-12 00:00:00+08:00,active,official,确认学制 3 年、学费 12000 元/年（专业学位）。
湖南大学,信息科学与工程学院,085405,软件工程,,2024,official_notice,湖南大学2024年硕士研究生招生考试考生进入复试的初试成绩基本要求,https://gra.hnu.edu.cn/2024/0328/c22291a630350/page.htm,湖南大学研究生院,,2026-06-12 00:00:00+08:00,active,official,确认 085405 学校线 280/40/40/65/65。
湖南大学,信息科学与工程学院,085405,软件工程,,2024,brochure,湖南大学2024年硕士研究生招生简章,https://gra.hnu.edu.cn/info/1092/9328.htm,湖南大学研究生院,,2026-06-12 00:00:00+08:00,active,official,确认学制 3 年、学费 12000 元/年。
湖南大学,信息科学与工程学院,085410,人工智能,,2024,official_notice,湖南大学2024年硕士研究生招生考试考生进入复试的初试成绩基本要求,https://gra.hnu.edu.cn/2024/0328/c22291a630350/page.htm,湖南大学研究生院,,2026-06-12 00:00:00+08:00,active,official,确认 085410 学校线 280/40/40/65/65。
湖南大学,信息科学与工程学院,085410,人工智能,,2024,brochure,湖南大学2024年硕士研究生招生简章,https://gra.hnu.edu.cn/info/1092/9328.htm,湖南大学研究生院,,2026-06-12 00:00:00+08:00,active,official,确认学制 3 年、学费 12000 元/年。
湖南大学,信息科学与工程学院,085411,大数据技术与工程,,2024,official_notice,湖南大学2024年硕士研究生招生考试考生进入复试的初试成绩基本要求,https://gra.hnu.edu.cn/2024/0328/c22291a630350/page.htm,湖南大学研究生院,,2026-06-12 00:00:00+08:00,active,official,确认 085411 学校线 280/40/40/65/65。
湖南大学,信息科学与工程学院,085411,大数据技术与工程,,2024,brochure,湖南大学2024年硕士研究生招生简章,https://gra.hnu.edu.cn/info/1092/9328.htm,湖南大学研究生院,,2026-06-12 00:00:00+08:00,active,official,确认学制 3 年、学费 12000 元/年。
湖南大学,信息科学与工程学院,085412,网络与信息安全,,2024,official_notice,湖南大学2024年硕士研究生招生考试考生进入复试的初试成绩基本要求,https://gra.hnu.edu.cn/2024/0328/c22291a630350/page.htm,湖南大学研究生院,,2026-06-12 00:00:00+08:00,active,official,确认 085412 学校线 280/40/40/65/65。
湖南大学,信息科学与工程学院,085412,网络与信息安全,,2024,brochure,湖南大学2024年硕士研究生招生简章,https://gra.hnu.edu.cn/info/1092/9328.htm,湖南大学研究生院,,2026-06-12 00:00:00+08:00,active,official,确认学制 3 年、学费 12000 元/年。
